init_x,init_y,final_x,final_y,time_delay,true_H0
0.303655,-0.466328,0.257090,0.010742,255.543350,70.000000
0.420210,0.471409,0.194979,-0.045435,237.978748,70.000000
0.963428,0.334333,-0.388929,-0.073831,204.539885,70.000000
-0.866875,0.438617,-0.513392,0.152193,172.844764,70.000000
-0.157975,0.916915,1.847495,0.653637,113.677223,70.000000
0.595185,-0.718438,0.630676,-0.301106,156.840728,70.000000
-0.783166,-0.676387,-0.714926,-0.618892,148.647815,70.000000
-0.028964,-0.791442,-0.175885,0.155771,184.708035,70.000000
0.242129,-0.540597,-1.219750,-0.349399,153.428575,70.000000
0.189259,0.868433,-0.050962,-1.869349,130.358453,70.000000
-0.250114,0.326206,0.114126,0.028059,298.655758,70.000000
0.544950,0.972455,-0.634393,0.609951,135.330679,70.000000
0.055059,-0.615053,0.095939,0.250555,196.683741,70.000000
0.806628,0.998172,-0.817879,0.856508,125.816250,70.000000
0.273095,-0.090046,-0.120698,-0.004640,361.057000,70.000000
0.590268,0.641959,0.708634,0.461764,164.998924,70.000000
-0.598856,-0.968504,-0.676892,-0.331703,131.069194,70.000000
0.355440,-0.114414,-0.135822,-0.008235,341.107403,70.000000
-0.957249,-0.476738,0.697815,-0.331033,161.101583,70.000000
-0.535379,-0.113550,-0.196648,0.007526,306.416344,70.000000
-0.440273,0.335733,-0.174055,-0.005549,261.123012,70.000000
0.664654,0.843152,0.670239,0.793819,139.877844,70.000000
0.853058,-0.648731,0.776051,-0.614377,148.669494,70.000000
0.782378,-0.570823,-0.555252,-0.474869,161.006043,70.000000
0.170317,0.510092,-0.020134,-0.017985,286.432615,70.000000
-0.884127,0.469398,0.609555,0.248681,168.922652,70.000000
-0.828487,-0.373533,0.529419,-0.140326,196.514497,70.000000
0.033484,0.764011,-0.387326,0.627472,156.011328,70.000000
0.741051,0.838106,-0.297657,-0.014906,136.518025,70.000000
0.055756,-0.906460,2.755696,0.558539,98.253885,70.000000
-0.874647,-0.193190,0.647170,-0.131414,199.452337,70.000000
-0.948942,-0.861119,-0.878042,-0.473180,130.480932,70.000000
-0.832781,-0.542221,0.599464,-0.559701,161.058328,70.000000
0.887627,0.343670,0.319701,-0.053516,180.331530,70.000000
0.054255,-0.132398,0.020619,-0.000015,335.984562,70.000000
0.789685,0.243521,0.258515,0.091347,214.828999,70.000000
0.863143,0.844788,0.189542,-0.096055,132.292468,70.000000
0.355765,-0.655115,-0.368609,0.110069,201.380493,70.000000
-0.510054,-0.473030,0.438595,-0.102489,209.362642,70.000000
-0.218555,0.738441,-0.018334,-0.047679,247.532940,70.000000
0.978069,0.401863,-0.476249,0.042946,189.101905,70.000000
0.105635,-0.590364,0.001588,0.002025,314.441444,70.000000
-0.247992,-0.007574,0.099460,-0.000212,364.378499,70.000000
0.711547,0.968288,0.519620,0.590689,130.473085,70.000000
0.015159,0.780541,-0.065520,0.020787,259.708159,70.000000
0.545134,0.064560,0.207086,0.036053,298.484367,70.000000
-0.943299,-0.019517,-0.616255,0.008122,196.018731,70.000000
-0.030051,0.940466,0.195630,0.027867,199.769845,70.000000
0.420103,0.673285,-0.307640,-0.005169,190.322805,70.000000
-0.106473,0.500348,0.007139,-0.081428,252.741707,70.000000
-0.651984,0.100287,0.078187,-0.041289,284.234663,70.000000
-0.468952,0.322251,-0.289669,-0.028316,261.359498,70.000000
0.068756,-0.426272,0.038262,0.056427,315.361717,70.000000
-0.345395,0.954306,0.638057,0.189738,175.495203,70.000000
-0.979279,-0.741642,0.692521,-0.557061,135.468539,70.000000
-0.769409,0.541828,-0.582185,0.517064,164.998733,70.000000
0.510439,0.955142,0.832158,0.273948,139.815309,70.000000
-0.923793,-0.186386,-0.262027,0.051391,228.873570,70.000000
-0.592804,0.734852,0.484565,0.369511,153.069587,70.000000
0.650849,0.823298,0.007086,-0.153783,142.091612,70.000000
-0.838909,0.462744,-0.515640,0.442919,172.591336,70.000000
-0.667413,0.792372,0.706525,0.708772,144.301501,70.000000
-0.599158,-0.042276,0.186738,0.036786,296.705035,70.000000
-0.540311,-0.999951,-0.942605,-0.491613,130.893176,70.000000
-0.168573,0.785386,-0.131202,-0.017725,261.315332,70.000000
-0.024202,-0.761885,-0.083474,-0.580359,131.477347,70.000000
0.994699,-0.089800,-0.328367,-0.120154,214.346704,70.000000
0.737759,-0.485668,-0.338219,-0.051188,175.798534,70.000000
-0.625622,-0.834893,0.155824,0.130987,142.644462,70.000000
-0.040300,0.678870,0.033762,0.040218,280.424531,70.000000
-0.227421,-0.266410,-0.048498,-0.012362,329.410355,70.000000
0.443337,-0.829661,0.315129,-0.077810,156.245566,70.000000
-0.116332,0.809114,-0.157661,-0.217303,209.733575,70.000000
